text
@tofu_niconico 何を言っているのかわからないままふぁぼってるところがあるので…
父親がネットで注文した品が届いたらしく、チャイムが鳴ったので、玄関に向かっていく父親の前に立ちはだかり「俺を倒してからにしろ」と言ったら滅茶苦茶怒られました
@kunu_ami_2525 ワロタ
@ahahahahai 衝撃のラストシーン息を呑むギャラリー残り15分からの背筋も凍るドラマ消えていく涙声ため息の効果音銀幕の二人が演じているlastly ruined show
@11imu21 夢人－ゆめと－
@Maikan_s まいきゃんの後、何があったのですか
@a9ryl まぶち
@nazeutata 本場のreggaeに触れたくて南米に飛んだ。そこで起きたのは悲劇だった。置き引きに、遭ったのだ…プライドをズタズタに引き裂かれた俺は帰国後、マイクを置いた。そこからは酷いものさ。酒とドラッグに溺れる毎日。かつて俺のバイブスだったreggae、今では耳鳴りさ
@zaizennkennya やめなさい！本名を知っている人は限られている！
@Tkt_Ktk ！？
@Potta_kaliw 今更、もう戻れない。未来も踏みにじる。そして永遠に上映される 絶望キネマ褪せたリールは今日も廻る笑いもせず 涙も見せず枯れ果てた僕が映っている
僕のハンドルネームですが、一つ前がホイホイ、更に一つ前が夢人－ゆめと－でした
@onsmy_waribashi ヤッター！！！！
@0220kajo それはあなたのお父さんが悪い
@O_7oM もちろん、履いていません
@uranus325 幸い、ないです。バレたら会社を去ることになります
エレベーターの扉が開く寸前まで物凄い顔をしておき、開いた瞬間に真顔に戻す遊びを前からやってます
@fujiimoutoo それでも構わないが、相見えたいよなァッ！？
@fujiimoutoo あぁ^～4人だ
@fujiimoutoo いつか三人でカラオケ、もしくはUSJに行きたい
@kosameimouto ターゲット層が不明ですね
@Shiiiiiitake6x6 まぁそれも一興だ
@zairyoutyuu 待ってるで！w
@zairyoutyuu コラボカラオケ配信なら良いよ
@zairyoutyuu コラボはもう懲り懲りだ！
@Suppre33 マジ？歌うまいんかよ氏ね
@colnigusu 深い…これまでの自信は慢心だったのだと気付かされました。僕が間違っていました。ありがとうございます！
@Suppre33 ？
@MaLiyme なんか前もありましたよねそれ
@tuba_music0131 やりましたね。おめでとうございます
@colnigusu ありがとうございます！高評価を賜り光栄に存じます！しかしあと20点はどこが至らぬのでしょうか！私は自慰に誇りを持っています！逸物が擦り切れんばかりも幾手の手淫を試み、やがて何人たりとも成し得ない無我の境地に達したというのに、あと何が、何が足らぬのでしょうか！
@fp309 しかし行けない私に死角はないのだ
@fp309 マジすか！青鬼とかですかね
@colnigusu 三時間ほど寸止めを繰り返し、その後、お射精させて頂いております。鑑定お願いします
@ryo_n87039 まぁ加熱したらいけますよ！w
@sinamonchan いい加減にして下さい。僕はこれからなんです
@sinamonchan カンカン棒長官……
@_PIAM_ わかりました
遊園地のおばけ屋敷に本物の霊能力者を連れて行ったんですよ。おばけが現れたので霊能力者は経文を詠み除霊を試みますが全く効きません「私の除霊術が効かない！いやそれどころか全く霊気を感じない！ここは危険だ！皆さん早く退避して下さい！」と大騒ぎをし、駆けつけた警備員に取り押さえられました
@kaitooo0824 チンポソイヤ……
@plam_traveler お前はなんなんだ、ただのS.Oクルーじゃないだろ！
@lery_0821air アンさんと繋がりたい
@indaco_octopus いいよ！w
@ATB5k いや、ないな。俺を見てみろ
@Tkt_Ktk ＿人人人人人人人人人人＿＞　                                 　＜＞　＿人人人人人人＿  　＜＞　＞　 あ、はい　＜　＜＞　￣Y^Y^Y^Y^Y￣        　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y￣
＿人人人人人人人人人人人人人人人＿＞　＿人人人人人人人人人人人＿　＜＞　＞　歌い手と繋がりたい　＜　＜＞　￣Y^Y^Y^Y^Y^Y^Y^Y^Y^Y￣      　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y^Y￣
@hougyok79 @oOsakusakuOo ワンマンと言うには酷くおこがましいですが、新宿のニコバーで行われるので良かったらお願いします
@oOsakusakuOo 5/4に
@Potta_kaliw ズボンの窓からいきり立ったおちんちんをこんにちはさせ、ストリートを往くstyleです
ズボンの窓からいきり立ったおちんちんをこんにちはさせ、先端に任意のキーホルダーをつけストリートを往く。これが、New York style
@MEMP_IS 年寄りだから難しい言葉を使えばわからないと思ってんだろ（た、タジタジ）
@MEMP_IS 解説をお願いしてもよろしいですか？
@okku1000se1 すげーな！？その顔で！？
@okku1000se1 京大マジ？
@_ku_ne こんにちは
@fujiimoutoo 完全に「モテ」を意識したミディアムショートという髪型です。毛先を遊ばせています
@MashRoom0302 なるふぉどねw実は僕も就活で印刷関係行ったんすけど「機器を破壊しそう」と謂われのない罵詈雑言を賜りその場で閉め出されたんすわw
"@SHOZYOCHAN うるせーーー！！！┗(⌒)(╬◓ω◔╬)(⌒)┛ウ""ウオ""オォ""アア""ア！！！┗(⌒)(╬◓ω◔╬)(⌒)┛ウ""ウオ""オォ""アア""ア！！！┗(⌒)(╬◓ω◔╬)(⌒)┛ウ""ウオ""オォ""アア""ア！！！┗(⌒)(╬◓ω◔╬)(⌒)┛ウ""ウオ""オォ""アア""ア！！"
@fujiimoutoo 今そんなに長くないですから
@MashRoom0302 何の仕事してるんですか！事細かに教えて下さい！
@hougyok79 チンポどうですか？
チンポ
@rika21_cupu 本当に鋭いですね。勘のいいガキは嫌いなんだよ…
@crazy__pozipozi ねぇねぇ～～～なんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでなんでな三　 (＾o＾)　　三＜（　)＞三　　／／
@bokarosenyou すみません…こちらこそコミュ障を拗らせて粋な計らいを何一つ出来ませんでした…
@dokonjyospirits まぁな、骨酒で杯を交わす日程を段取りしておこう
@colnigusu 淫乱豚眼鏡で登録した
@ryo_n87039 パンありがとうございました。自社製品という希少価値を噛みしめながら完食させて頂きました
@colnigusu 俺も営業用のトーンで出ました。寿命が縮まりました
@desunyawa8 こちらこそありがとうございました！これまでで最も会話を交わすことが出来た気がします
@MEMP_IS 電話に出ましたが、こちらの予想とは裏腹にB'zの大ファンだったようで、意気投合しバンドを組むことになりました
取引先の重役の方に電話を入れましたが、留守電に切り替わってしまったのでB'zのLOVE PHANTOMのサビを全力で歌唱させて頂きました。それがつい10分程前の話で、現在、鬼の様に着信が来ております。しかし出ることは出来ません。何故なら、何を言われるかわかったものではないからです
@nachiko_riaru ありがとうございました！ご姉妹中睦まじく微笑ましいものがありました！壁にめり込み、頭蓋を損傷しました！！
@kinnnikuhuman 白い光の中から失礼するゾ〜(卒業) この山並み萌えスギィ！ 自分飛び立ちいいすか？ 自由をかける鳥が振り返りそうだったから勇気を翼にぶち込んでやるぜーいきなり希望の風に乗ってすいません許してくださいこの広い大空に夢を託しますから！(託すとは言ってない
@SUG7R こちらこそありがとうございます！信じられない程汚らしい字で申し訳ありません！また機会があったら是非よろしくお願いしますね！
@kinnnikuhuman 筋肉さん本日は色々とありがとうございました！頂いた強力わかもと、こちら用量１回９錠のところ、実に倍の２０錠をキメ、過酷な臨戦態勢を乗り切ることが出来ました。
@syotasukisuki 「関西の白虎が名古屋に来ている」と専ら噂立っていました。僕としてもお目にかかりたかったですが、仕方がありません。いつか鼓舞の舞-死の旋律-を生で拝見したいです！！
@enpitsu98 大変申し訳ありません、カラオケの料金をお渡しするのを忘れておりました。明日、会社を辞職致します。
@neneko_nnk わかりません！出来れば平日にして下さい！年寄り！人間国宝！
@lu___73xxx 「アウアウ」と言いながら痙攣することしか出来ず申し訳ありませんでした。「smoke kills」あの単語は一生忘れません！本当にありがとうございました！
@uni_uw このままでは互いに禿げ上がってしまうと思います。頂いた写真、大切に保管させて頂きます。折りたたみで前の人にダメージを与えてください！！！！！！ありがとうございました！
@ririannnnn 5/4は今回の経験を生かし、会場の中ほどでククリ刀を振り回したく思います。ぜひお越しください
@neneko_nnk そちらが来て下さい！ハゲだるま！ハゲ毛だるま！
@amnos6345 ありがとうございます！（どこか進撃の巨人っぽさがあります）以前より多くの会話を交わすことが出来、嬉しく思います。スラリとしたモデルの様なスタイルで男共の視線を釘付けにしておられました
